encourage,alentar,encourager
basic,basico,de base
page,pagina,page
staff,personal,personnel
exhibition,exposicion,exposition
cat,gato,chat
positive,positivo,positif
assume,asumir,supposer
prisoner,prisionero,prisonnier
punishment,castigo,châtiment
live,en vivo,habitent
presentation,presentacion,presentation
tribe,tribu,tribu
test,prueba,test
statement,declaracion,declaration
employment,empleo,emploi
pipe,tubo,tuyau
plus,mas,plus
treat,tratar,traiter
saving,ahorro,economie
spot,lugar,place
dare,atrevimiento,oser
profit,ganancia,profit
horizon,horizonte,horizon
nose,nariz,nez
regular,regular,regulier
exercise,ejercicio,exercer
warning,advertencia,attention
opening,apertura,ouverture
researcher,investigador,chercheur
dealer,distribuidor,marchand
never,nunca,jamais
group,grupo,grouper
spokesman,portavoz,porte-parole
debt,deuda,dette
acquire,adquirir,acquerir
faculty,facultad,la faculte
permission,permiso,autorisation
leadership,liderazgo,leadership
write,escribe,ecrivez
responsibility,responsabilidad,responsabilite
council,consejo,conseil
proportion,proporcion,proportion
pine,pino,pin
senator,senador,senateur
host,anfitrion,heberger
urge,impulso,exhorter
founder,fundador,fondateur
ago,atras,depuis
singer,cantante,chanteur
establish,establecer,etablir
deficit,deficit,deficit
birthday,cumpleanos,date d'anniversaire
evening,noche,soiree
those,esos,celles
toward,hacia,vers
finish,finalizar,terminer
text,texto,texte
actress,actriz,actrice
seize,aprovechar,s'emparer de
at,en,à
quiet,tranquilo,silencieux
neighborhood,vecindario,quartier
am,soy,un m
fate,destino,destin
performance,rendimiento,performance
fruit,fruta,fruit
substance,sustancia,substance
boyfriend,novio,petit ami
review,revision,la revue
plot,trama,parcelle
adapt,adaptar,adapter
hour,hora,heure
green,verde,vert
personality,personalidad,personnalite
inquiry,consulta,enquête
identify,identificar,identifier
fault,culpa,faute
certain,cierto,certain
pick,elegir,prendre
lifestyle,estilo de vida,mode de vie
everyday,cada dia,tous les jours
information,informacion,information
shrug,encogimiento de hombros,hausser les epaules
adviser,asesor,conseiller
across,al otro lado de,de l'autre côte
airport,aeropuerto,aeroport
fly,mosca,voler
mark,marca,marque
district,distrito,quartier
dirty,sucio,sale
volunteer,voluntario,benevole
mere,mero,simple
bright,brillante,brillant
system,sistema,système
nice,agradable,agreable
conservative,conservador,conservateur
project,proyecto,projet
officer,oficial,officier
brand,marca,marque
divorce,divorcio,divorce
employer,empleador,employeur
within,dentro de,dans
specialist,especialista,specialiste
substantial,sustancial,substantiel
town,pueblo,ville
station,estacion,station
illegal,ilegal,illegal
face,rostro,visage
get,obtener,avoir
rarely,casi nunca,rarement
among,entre,parmi
atmosphere,atmosfera,atmosphère
violate,violar,violer
sort,clasificar,sorte
vehicle,vehiculo,vehicule
forward,hacia adelante,effronte
temperature,temperatura,temperature
soft,suave,doux
disability,invalidez,invalidite
insurance,seguro,assurance
household,familiar,menage
publication,publicacion,publication
main,principal,principale
distance,distancia,distance
originally,originalmente,initialement
fade,desvanecerse,disparaître
art,arte,art
gas,gas,gaz
organize,organizar,organiser
fellow,companero,compagnon
chair,silla,chaise
nor,ni,ni
row,fila,ligne
suppose,suponer,supposer
something,algo,quelque chose
large,grande,grande
painter,pintor,peintre
display,mostrar,affichage
analyze,analizar,analyser
string,cuerda,chaîne de caractères
promise,promesa,promettre
knife,cuchillo,couteau
implication,implicacion,implication
section,seccion,section
flesh,carne,chair
tragedy,tragedia,la tragedie
advocate,defensor,avocat
experience,experiencia,experience
recovery,recuperacion,recuperation
girlfriend,novia,copine
muscle,musculo,muscle
international,internacional,international
fortune,fortuna,fortune
expensive,caro,cher
due,vencer,payable
touch,tocar,toucher
little,poco,peu
wrong,incorrecto,tort
king,rey,roi
myth,mito,mythe
lack,carecer,manque
passage,paso,passage
struggle,dificil,lutter
county,condado,comte
agency,agencia,agence
british,britanico,britanique
witness,testigo,temoin
horse,caballo,cheval
forget,olvidar,oubliez
judge,juez,juge
towards,hacia,vers
screen,pantalla,ecran
pain,dolor,douleur
pleasure,placer,plaisir
wisdom,sabiduria,sagesse
which,cual,lequel
slide,diapositiva,faire glisser
hip,cadera,hanche
challenge,desafio,defi
relax,relajarse,detendez-vous
director,director,realisateur
prescription,prescripcion,ordonnance
connection,conexion,connexion
venture,riesgo,entreprise
shelf,estante,etagère
son,hijo,fils
plant,planta,plante
organic,organico,biologique
transportation,transporte,transport
apparently,aparentemente,apparemment
star,estrella,star
planning,planificacion,planification
partner,companero,partenaire
direct,directo,direct
connect,conectar,relier
intelligence,inteligencia,intelligence
fact,hecho,fait
expect,suponer,attendre
split,separar,diviser
widely,ampliamente,largement
do,hacer,fais
idea,idea,idee
storm,tormenta,orage
pot,maceta,pot
capable,capaz,capable
prevent,evitar,empêcher
issue,asunto,publier
stick,palo,coller
resemble,asemejarse a,ressembler
deny,negar,nier
resistance,resistencia,la resistance
fiction,ficcion,fiction
former,anterior,ancien
maker,fabricante,fabricant
stress,estres,stress
carry,llevar,porter
cooperation,cooperacion,la cooperation
already,ya,dejà
working,trabajando,travaillant
even,incluso,même
round,ronda,rond
exact,exacto,exact
degree,la licenciatura,diplôme
today,hoy dia,aujourd'hui
assist,ayudar,aider
pop,musica pop,pop
understanding,comprension,entente
successfully,exitosamente,avec succès
contemporary,contemporaneo,contemporain
justify,justificar,justifier
critical,critico,critique
priority,prioridad,priorite
neck,cuello,cou
rhythm,ritmo,rythme
rule,regla,regner
identity,identidad,identite
efficiency,eficiencia,efficacite
quarterback,jugador de ataque,stratège
million,millon,million
obtain,obtener,obtenir
alone,solo,seule
assumption,suposicion,supposition
him,el,lui
through,a traves de,par
them,ellos,leur
conference,conferencia,conference
small,pequena,petit
frequent,frecuente,frequent
civilian,civil,civil
than,que,que
blow,soplar,souffler
anxiety,ansiedad,anxiete
flavor,sabor,saveur
suicide,suicidio,suicide
corporate,corporativo,d'entreprise
education,educacion,education
travel,viaje,voyage
gradually,gradualmente,progressivement
style,estilo,style
relative,relativo,relatif
poetry,poesia,poesie
hero,heroe,heros
tension,tension,tension
behind,detras,derrière
opportunity,oportunidad,opportunite
existence,existencia,existence
production,produccion,production
economics,ciencias economicas,economie
enormous,enorme,enorme
far,lejos,loin
change,cambiar,changement
cash,dinero en efectivo,en espèces
philosophy,filosofia,philosophie
fail,fallar,echouer
wise,sabio,sage
surprised,sorprendido,surpris
translate,traducir,traduire
insight,vision,apercu
gang,pandilla,gang
aspect,aspecto,aspect
arrival,llegada,arrivee
gallery,galeria,galerie
ensure,garantizar,assurer
resident,residente,resident
ideal,ideal,ideal
wonder,preguntarse,merveille
third,tercera,la troisième
dead,muerto,mort
barely,apenas,à peine
boat,bote,bateau
replace,reemplazar,remplacer
example,ejemplo,exemple
toe,dedo del pie,doigt de pied
lead,dirigir,mener
nobody,nadie,personne
curious,curioso,curieuse
sell,vender,vendre
broken,roto,casse
less,menos,moins
grave,tumba,la tombe
abortion,aborto,avortement
stroke,carrera,accident vasculaire cerebral
killing,asesinato,meurtre
truly,verdaderamente,vraiment
branch,rama,branche
scientific,cientifico,scientifique
eastern,oriental,est
advice,consejo,conseils
lot,lote,parcelle
christian,cristiano,christian
garage,garaje,garage
regulation,regulacion,regulation
qualify,calificar,qualifier
manner,conducta,manière
weather,tiempo,la meteo
lifetime,toda la vida,duree de vie
draw,dibujar,dessiner
label,etiqueta,etiqueter
introduce,introducir,presenter
bible,biblia,bible
illustrate,ilustrar,illustrer
begin,empezar,commencer
gay,gay,gay
cotton,algodon,coton
neighbor,vecino,voisine
master,maestro,maître
soil,tierra,sol
unable,incapaz,incapable
quality,calidad,qualite
pilot,piloto,pilote
progress,progreso,le progrès
generation,generacion,generation
virtually,virtualmente,virtuellement
finger,dedo,doigt
environment,ambiente,environnement
white,blanco,blanche
silver,plata,argent
shirt,camisa,chemise
next,proximo,suivant
price,precio,le prix
margin,margen,marge
resource,recurso,ressource
code,codigo,code
involved,involucrado,implique
application,solicitud,application
reinforce,reforzarse,renforcer
task,tarea,tâche
wire,cable,fil
stone,roca,calcul
finance,finanzas,la finance
lawn,cesped,pelouse
evolve,evolucionar,evoluer
participant,participe,participant
bus,autobus,autobus
embrace,abarcar,embrasse
love,amor,amour
consultant,consultor,consultant
skin,piel,la peau
impossible,imposible,impossible
completely,completamente,complètement
correct,correcto,correct
appointment,cita,rendez-vous
deserve,merecer,meriter
critic,critico,critique
story,historia,recit
as,como,comme
disease,enfermedad,maladie
satisfy,satisfacer,satisfaire
sexual,sexual,sexuel
heart,corazon,cœur
quietly,en silencio,tranquillement
some,algunos,quelque
deck,plataforma,plate-forme
extensive,extenso,extensif
definitely,definitivamente,absolument
mistake,error,erreur
initially,inicialmente,initialement
farm,granja,cultiver
curriculum,plan de estudios,curriculum
institution,institucion,institution
billion,billon,milliard
sauce,salsa,sauce
friendly,amistoso,amical
me,me,moi
jew,judio,juif
improve,mejorar,ameliorer
lover,amante,amoureux
accomplish,lograr,accomplir
associate,asociar,associer
otherwise,de lo contrario,par ailleurs
investigation,investigacion,enquête
any,ninguna,quelconque
realize,darse cuenta de,prendre conscience de
consideration,consideracion,consideration
its,su,son
heaven,cielo,paradis
content,contenido,contenu
child,nino,enfant
lab,laboratorio,laboratoire
