a,un,une
abandon,abandonar,abandonner
ability,capacidad,capacité
able,poder,pouvoir
abortion,aborto,avortement
about,sobre,sur
above,encima,au dessus
abroad,en el extranjero,à l'étranger
absence,ausencia,absence
absolute,absoluto,absolu
absolutely,absolutamente,tout à fait
absorb,absorber,absorber
abuse,abuso,abuser de
academic,académico,académique
accept,aceptar,j'accepte
access,acceso,accéder
accident,accidente,accident
accompany,acompañar,accompagner
accomplish,lograr,accomplir
according,según,selon
account,cuenta,compte
accurate,preciso,précis
accuse,acusar,accuser
achieve,lograr,atteindre
achievement,logro,réussite
acid,ácido,acide
acknowledge,reconocer,accuser réception
acquire,adquirir,acquérir
across,al otro lado de,de l'autre côté
act,actuar,acte
action,acción,action
active,activo,actif
activist,activista,activiste
activity,actividad,activité
actor,actor,acteur
actress,actriz,actrice
actual,real,réel
actually,realmente,en fait
ad,anuncio,un d
adapt,adaptar,adapter
add,agregar,ajouter
addition,adición,une addition
additional,adicional,additionnel
address,habla a,adresse
adequate,adecuado,adéquat
adjust,ajustar,régler
adjustment,ajustamiento,ajustement
administration,administración,administration
administrator,administrador,administrateur
admire,admirar,admirer
admission,admisión,admission
admit,admitir,admettre
adolescent,adolescente,adolescent
adopt,adoptar,adopter
adult,adulto,adulte
advance,avance,avance
advanced,avanzado,avancée
advantage,ventaja,avantage
adventure,aventuras,aventure
advertising,publicidad,la publicité
advice,consejo,conseils
advise,aconsejar,conseiller
adviser,asesor,conseiller
advocate,defensor,avocat
affair,amorío,affaire
affect,afectar,affecter
afford,poder pagar,s'offrir
afraid,temeroso,peur
african,africano,africain
african-american,afroamericano,afro-américain
after,después,après
afternoon,tarde,après midi
again,otra vez,de nouveau
against,en contra,contre
age,años,âge
agency,agencia,agence
agenda,agenda,ordre du jour
agent,agente,agent
aggressive,agresivo,agressif
ago,atrás,depuis
agree,estar de acuerdo,je suis d'accord
agreement,convenio,accord
agricultural,agrícola,agricole
ah,ah,ah
ahead,adelante,devant
aid,ayuda,aide
aide,ayudante,aide
aids,sida,le sida
aim,apuntar,objectif
air,aire,air
aircraft,aeronave,avion
airline,aerolínea,compagnie aérienne
airport,aeropuerto,aéroport
album,álbum,album
alcohol,alcohol,de l'alcool
alive,vivo,vivant
all,todos,tous
alliance,alianza,alliance
allow,permitir,autoriser
ally,aliado,allié
almost,casi,presque
alone,solo,seule
along,a lo largo de,le long de
already,ya,déjà
also,además,également
alter,alterar,modifier
alternative,alternativa,alternative
although,aunque,même si
always,siempre,toujours
am,soy,un m
amazing,increíble,étonnante
american,americano,américain
among,entre,parmi
amount,monto,montant
analysis,análisis,analyse
analyst,analista,analyste
analyze,analizar,analyser
ancient,antiguo,ancien
and,y,et
anger,enojo,colère
angle,ángulo,angle
angry,enfadado,en colère
animal,animal,animal
anniversary,aniversario,anniversaire
announce,anunciar,annoncer
annual,anual,annuel
another,otro,une autre
answer,responder,répondre
anticipate,prever,anticiper
anxiety,ansiedad,anxiété
any,ninguna,quelconque
anybody,cualquiera,n'importe qui
anymore,ya no,plus
anyone,alguien,n'importe qui
anything,cualquier cosa,rien
anyway,de todos modos,en tous cas
anywhere,en cualquier sitio,partout
apart,aparte,une part
apartment,departamento,appartement
apparent,aparente,apparent
apparently,aparentemente,apparemment
appeal,apelación,faire appel
appear,aparecer,apparaître
appearance,apariencia,apparence
apple,manzana,pomme
application,solicitud,application
apply,aplicar,appliquer
appoint,nombrar,nommer
appointment,cita,rendez-vous
appreciate,agradecer,apprécier
approach,acercarse,approcher
appropriate,apropiado,approprié
approval,aprobación,approbation
approve,aprobar,approuver
approximately,aproximadamente,approximativement
arab,árabe,arabe
architect,arquitecto,architecte
area,área,région
argue,discutir,se disputer
argument,argumento,argument
arise,aumentar,surgir
arm,brazo,bras
armed,armado,armé
army,ejército,armée
around,alrededor,environ
arrange,arreglar,organiser
arrangement,arreglo,arrangement
arrest,arrestar,arrêter
arrival,llegada,arrivée
arrive,llegar,arrivée
art,arte,art
article,artículo,article
artist,artista,artiste
artistic,artístico,artistique
as,como,comme
asian,asiático,asiatique
aside,aparte,de côté
ask,pedir,interroger
asleep,dormido,endormi
aspect,aspecto,aspect
assault,asalto,agression
assert,afirmar,affirmer
assess,evaluar,évaluer
assessment,evaluación,évaluation
asset,activo,actif
assign,asignar,attribuer
assignment,asignación,mission
assist,ayudar,aider
assistance,asistencia,assistance
assistant,asistente,assistant
associate,asociar,associer
association,asociación,association
assume,asumir,supposer
assumption,suposición,supposition
assure,asegurar,assurer
at,en,à
athlete,atleta,athlète
athletic,atlético,athlétique
atmosphere,atmósfera,atmosphère
attach,adjuntar,attacher
attack,ataque,attaque
attempt,intento,tentative
attend,atender,assister à
attention,atención,attention
attitude,actitud,attitude
attorney,abogado,avocat
attract,atraer,attirer
attractive,atractivo,attractif
attribute,atributo,attribut
audience,audiencia,public
author,autor,auteur
authority,autoridad,autorité
auto,auto,auto
available,disponible,disponible
average,promedio,moyen
avoid,evitar,éviter
award,otorgar,décerner
aware,consciente,au courant
awareness,conciencia,sensibilisation
away,fuera,une façon
awful,horrible,affreux
baby,bebé,bébé
back,espalda,arrière
background,antecedentes,contexte
bad,malo,mal
badly,gravemente,mal
bag,bolsa,sac
bake,hornear,cuire
balance,equilibrio,équilibre
ball,bola,balle
ban,prohibición,interdire
band,banda,bande
bank,banco,banque
bar,bar,bar
barely,apenas,à peine
barrel,barril,baril
barrier,barrera,barrière
base,base,base
baseball,béisbol,base-ball
basic,básico,de base
basically,básicamente,fondamentalement
basis,base,base
basket,cesta,corbeille
basketball,baloncesto,basket-ball
bathroom,baño,salle de bain
battery,batería,la batterie
battle,batalla,bataille
be,ser,être
beach,playa,plage
bean,frijol,haricot
bear,oso,ours
beat,derrotar,battre
beautiful,hermosa,magnifique
beauty,belleza,beauté
because,porque,car
become,volverse,devenir
bed,cama,lit
bedroom,habitación,chambre à coucher
beer,cerveza,bière
before,antes de,avant de
begin,empezar,commencer
beginning,comenzando,début
behavior,conducta,comportement
behind,detrás,derrière
being,siendo,être
belief,creencia,croyance
believe,creer,croyez
bell,campana,cloche
belong,pertenecer,appartiennent
below,debajo,au dessous de
belt,cinturón,ceinture
bench,mesa de trabajo,banc
bend,doblar,pliez
beneath,bajo,sous
benefit,beneficio,avantage
beside,junto a,à côté de
besides,además,outre
best,mejor,meilleur
bet,apuesta,pari
better,mejor,mieux
between,entre,compris entre
beyond,más allá de,au-delà
bible,biblia,bible
big,grande,gros
bike,bicicleta,bicyclette
bill,cuenta,facture
billion,billón,milliard
bind,unir,lier
biological,biológico,biologique
bird,pájaro,oiseau
birth,nacimiento,naissance
birthday,cumpleaños,date d'anniversaire
bit,poco,bit
bite,morder,mordre
black,negro,le noir
blade,espada,lame
blame,culpar,faire des reproches
blanket,manta,couverture
blind,ciego,aveugle
block,cuadra,bloquer
blood,sangre,du sang
blow,soplar,souffler
blue,azul,bleu
board,tablero,planche
boat,bote,bateau
body,cuerpo,corps
bomb,bomba,bombe
bombing,bombardeo,bombardement
bond,vínculo,lier
bone,hueso,os
book,libro,livre
boom,auge,boom
boot,bota,démarrage
border,frontera,frontière
born,nacido,née
borrow,tomar prestado,emprunter
boss,patrón,chef
both,ambas cosas,tous les deux
bother,molestar,embêter
bottle,botella,bouteille
bottom,fondo,bas
boundary,perímetro,frontière
bowl,bol,bol
box,caja,boîte
boy,chico,garçon
boyfriend,novio,petit ami
brain,cerebro,cerveau
branch,rama,branche
brand,marca,marque
bread,pan,pain
break,descanso,pause
breakfast,desayuno,petit-déjeuner
breast,pecho,sein
breath,respiración,souffle
breathe,respirar,respirer
brick,ladrillo,brique
bridge,puente,pont
brief,breve,bref
briefly,brevemente,brièvement
bright,brillante,brillant
brilliant,brillante,brillant
bring,traer,apporter
british,británico,britanique
broad,amplio,large
broken,roto,cassé
brother,hermano,frère
brown,marrón,marron
brush,cepillo,brosser
buck,dólar,mâle
budget,presupuesto,budget
build,construir,construire
building,edificio,bâtiment
bullet,bala,balle
bunch,racimo,groupe
burden,carga,fardeau
burn,quemar,brûler
bury,enterrar,enterrer
bus,autobús,autobus
business,negocio,affaires
busy,ocupado,occupé
but,pero,mais
butter,manteca,beurre
button,botón,bouton
buy,comprar,acheter
buyer,comprador,acheteur
by,por,par
cabin,cabina,cabine
cabinet,gabinete,cabinet
cable,cable,câble
cake,pastel,gâteau
calculate,calcular,calculer
call,llamada,appel
camera,cámara,appareil photo
camp,acampar,camp
campaign,campaña,campagne
campus,instalaciones,campus
can,lata,pouvez
canadian,canadiense,canadien
cancer,cáncer,cancer
candidate,candidato,candidat
cap,gorra,casquette
capability,capacidad,aptitude
capable,capaz,capable
capacity,capacidad,capacité
capital,capital,capitale
captain,capitán,capitaine
capture,capturar,capturer
car,coche,auto
carbon,carbón,carbone
card,tarjeta,carte
care,cuidado,se soucier
career,carrera profesional,carrière
careful,cuidado,prudent
carefully,con cuidado,soigneusement
carrier,transportador,transporteur
carry,llevar,porter
case,caso,cas
cash,dinero en efectivo,en espèces
cast,emitir,jeter
cat,gato,chat
catch,atrapar,attraper
category,categoría,catégorie
catholic,católico,catholique
cause,porque,causer
ceiling,techo,plafond
celebrate,celebrar,célébrer
celebration,celebracion,fête
celebrity,celebridad,célébrité
cell,célula,cellule
center,centrar,centre
central,central,central
century,siglo,siècle
ceo,ceo,pdg
ceremony,ceremonia,la cérémonie
certain,cierto,certain
certainly,ciertamente,certainement
chain,cadena,chaîne
chair,silla,chaise
chairman,presidente,président
challenge,desafío,défi
chamber,cámara,chambre
champion,campeón,champion
championship,campeonato,championnat
chance,oportunidad,chance
change,cambiar,changement
changing,cambiando,en changeant
channel,canal,canal
chapter,capítulo,chapitre
character,personaje,personnage
characteristic,característica,caractéristique
characterize,caracterizar,caractériser
